HM Code,HM Title,HM Alternate Title,Arrangement of,Publisher,Type,Composer,Arranger,Level,Octaves of bells,Octaves of chimes,Occasion,Duration,Key signature changes,Accidentals,Key signature(s),Time signature changes,Time signature(s),Notes,Repeats,Techniques,Original copyright,Current copyright,Number of pages,Link to buy,Link to listen/view
HM00001A,Hallelujah,None,Hallelujah,Mareike Davis,Arrangement of copyrighted work,Leonard Cohen,Mareike Davis,2-,2,None,"Sacred, Secular, Pop song",238,No,No,D (2 sharps),No,8-Jun,,None,"Ring, 4iH",1985,2017,9,https://www.sheetmusicplus.com/title/hallelujah-digital-sheet-music/20404305,https://www.sheetmusicplus.com/title/hallelujah-digital-sheet-music/20404305
HM00002A,Walking In The Air,None,Walking In The Air from The Snowman,Mareike Davis,Arrangement of copyrighted work,Howard Blake,Mareike Davis,3-,3,None,"Christmas, Secular",270,No,Yes,F (1 flat),No,4-Apr,,Optional,"Ring, 4iH",1982,2017,8,https://www.sheetmusicplus.com/title/walking-in-the-air-digital-sheet-music/20405648,https://www.sheetmusicplus.com/title/walking-in-the-air-digital-sheet-music/20405648
HM00003A,Only Time,None,Only Time,Mareike Davis,Arrangement of copyrighted work,Enya,Mareike Davis,3,5,None,"Secular, Pop song, Patriotic",194,Yes,Yes,"G (1 sharp), Bb (2 flats)",Yes,"3/4, 4/4","Whole, half, quarter, eighth, dotted half",None,"Ring, LV, Table mallet, Suspended mallet, Thumb damp",2000,2017,7,https://www.sheetmusicplus.com/title/only-time-digital-sheet-music/20410508,https://www.sheetmusicplus.com/title/only-time-digital-sheet-music/20410508
HM00004A,The Scientist,None,The Scientist,Mareike Davis,Arrangement of copyrighted work,Coldplay,Mareike Davis,2+,2,None,"Secular, Pop song",189,No,No,G (1 sharp),No,4-Apr,,Optional,Ring,2002,2018,4,https://www.sheetmusicplus.com/title/the-scientist-digital-sheet-music/20410543,https://www.sheetmusicplus.com/title/the-scientist-digital-sheet-music/20410543
HM00005A,Yellow Submarine,None,Yellow Submarine,Mareike Davis,Arrangement of copyrighted work,John Lennon and Paul McCartney,Mareike Davis,2,2,None,"Secular, Pop song",152,No,No,Bb (2 flats),No,4-Apr,,Optional,"Ring, Ring touch, Mallet click, Clap",1966,2017,4,https://www.sheetmusicplus.com/title/yellow-submarine-digital-sheet-music/20410551,https://www.sheetmusicplus.com/title/yellow-submarine-digital-sheet-music/20410551
HM00006A,"Ob-La-Di, Ob-La-Da",None,"Ob-La-Di, Ob-La-Da",Mareike Davis,Arrangement of copyrighted work,John Lennon and Paul McCartney,Mareike Davis,3+,5,None,"Secular, Pop song",193,No,Yes,Ab (4 flats),No,4-Apr,,None,"Ring, Table mallet, Mart, Mart lift, Ring touch, Shake, Thumb damp",1968,2017,9,https://www.sheetmusicplus.com/title/ob-la-di-ob-la-da-digital-sheet-music/20444854,https://www.sheetmusicplus.com/title/ob-la-di-ob-la-da-digital-sheet-music/20444854
HM00007A,Fix You,None,Fix You,Mareike Davis,Arrangement of copyrighted work,Coldplay,Mareike Davis,3,"3, 5",None,"Secular, Pop song",268,No,No,Eb (3 flats),No,4-Apr,,Optional,"Ring, LV, Gyro, Swing, Vibrato",2005,2017,7,https://www.sheetmusicplus.com/title/fix-you-digital-sheet-music/20447469,https://www.sheetmusicplus.com/title/fix-you-digital-sheet-music/20447469
HM00008A,Walking In The Air,None,"Walking In The Air from ""The Snowman""",Mareike Davis,Arrangement of copyrighted work,Howard Blake,Mareike Davis,3-,5,None,"Secular, Movie",219,No,No,Eb (3 flats),Yes,"2/4, 4/4",,Optional,"Ring, LV, Vibrato",1982,2017,7,https://www.sheetmusicplus.com/title/walking-in-the-air-digital-sheet-music/20448380,https://www.sheetmusicplus.com/title/walking-in-the-air-digital-sheet-music/20448380
HM00009A,Stacy's Mom,None,Stacy's Mom,Mareike Davis,Arrangement of copyrighted work,Fountains Of Wayne,Mareike Davis,3+,5,None,"Secular, Pop song",199,Yes,Yes,"F (1 flat), Ab (4 flats)",No,4-Apr,,None,"Ring, LV, Table mallet, Mart, Mart lift, Ring touch, Thumb damp, Mallet click, Clap",2003,2017,9,https://www.sheetmusicplus.com/title/stacy-s-mom-digital-sheet-music/20456560,https://www.sheetmusicplus.com/title/stacy-s-mom-digital-sheet-music/20456560
HM00010A,Fields Of Gold,None,Fields Of Gold,Mareike Davis,Arrangement of copyrighted work,Sting,Mareike Davis,2+,2,None,"Secular, Pop song",154,No,No,G (1 sharp),No,4-Apr,,None,"Ring, Thumb damp",1993,2017,4,https://www.sheetmusicplus.com/title/fields-of-gold-digital-sheet-music/20526076,https://www.sheetmusicplus.com/title/fields-of-gold-digital-sheet-music/20526076
